"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"DMKN","ENSG00000161249","protein_coding","DMKN","55"
"DNA2","ENSG00000138346","protein_coding","DNA2","4"
"DNAH14","ENSG00000185842","protein_coding","DNAH14","7"
"DNAJC21","ENSG00000168724","protein_coding","DNAJC21","2"
"DNAJC25","ENSG00000059769","protein_coding","DNAJC25","2"
"DNAJC25-GNG10","ENSG00000244115","protein_coding","DNAJC25-GNG10","1"
"DNAJC7","ENSG00000168259","protein_coding","DNAJC7","10"
"DNM2","ENSG00000079805","protein_coding","DNM2","6"
"DNMT1","ENSG00000130816","protein_coding","DNMT1","3"
"DNMT3A","ENSG00000119772","protein_coding","DNMT3A","6"
"DONSON","ENSG00000159147","protein_coding","DONSON","6"
"DOT1L","ENSG00000104885","protein_coding","DOT1L","2"
"DPH1","ENSG00000108963","protein_coding","DPH1","3"
"DPH5","ENSG00000117543","protein_coding","DPH5","3"
"DPY19L3","ENSG00000178904","protein_coding","DPY19L3","7"
"DPYSL2","ENSG00000092964","protein_coding","DPYSL2","1"
"DR1","ENSG00000117505","protein_coding","DR1","3"
"DRAM1","ENSG00000136048","protein_coding","DRAM1","1"
"DROSHA","ENSG00000113360","protein_coding","DROSHA","5"
"DSC3","ENSG00000134762","protein_coding","DSC3","2"
"DSCAM","ENSG00000171587","protein_coding","DSCAM","1"
"DST","ENSG00000151914","protein_coding","DST","7"
"DSTYK","ENSG00000133059","protein_coding","DSTYK","3"
"DTX1","ENSG00000135144","protein_coding","DTX1","1"
"DUSP3","ENSG00000108861","protein_coding","DUSP3","2"
"DUT","ENSG00000128951","protein_coding","DUT","10"
"DZIP3","ENSG00000198919","protein_coding","DZIP3","5"
"EEF1A1P4","ENSG00000245205","pseudogene","EEF1A1P4","1"
"EEF1E1","ENSG00000124802","protein_coding","EEF1E1","3"
"EEF1E1-BLOC1S5","ENSG00000265818","protein_coding","EEF1E1-BLOC1S5","1"
"EEF2","ENSG00000167658","protein_coding","EEF2","10"
"EFCAB11","ENSG00000140025","protein_coding","EFCAB11","10"
"EFCAB14","ENSG00000159658","protein_coding","EFCAB14","1"
"EFCAB4A","ENSG00000177685","protein_coding","EFCAB4A","3"
"EFHD1","ENSG00000115468","protein_coding","EFHD1","5"
"EFNA5","ENSG00000184349","protein_coding","EFNA5","3"
"EGFEM1P","ENSG00000206120","pseudogene","EGFEM1P","3"
"EHD4","ENSG00000103966","protein_coding","EHD4","1"
"EHMT1","ENSG00000181090","protein_coding","EHMT1","5"
"EID1","ENSG00000255302","protein_coding","EID1","2"
"EID2","ENSG00000176396","protein_coding","EID2","1"
"EIF2B4","ENSG00000115211","protein_coding","EIF2B4","5"
"EIF2B5","ENSG00000145191","protein_coding","EIF2B5","2"
"EIF2S2","ENSG00000125977","protein_coding","EIF2S2","1"
"EIF3B","ENSG00000106263","protein_coding","EIF3B","3"
"EIF3E","ENSG00000104408","protein_coding","EIF3E","1"
"EIF3F","ENSG00000175390","protein_coding","EIF3F","1"
"EIF3H","ENSG00000147677","protein_coding","EIF3H","3"
"EIF3K","ENSG00000178982","protein_coding","EIF3K","5"
"EIF3M","ENSG00000149100","protein_coding","EIF3M","3"
"EIF4A1","ENSG00000161960","protein_coding","EIF4A1","37"
"EIF4A2","ENSG00000156976","protein_coding","EIF4A2","4"
"EIF4A3","ENSG00000141543","protein_coding","EIF4A3","2"
"EIF4G2","ENSG00000110321","protein_coding","EIF4G2","12"
"EIF4G3","ENSG00000075151","protein_coding","EIF4G3","10"
"EIF5","ENSG00000100664","protein_coding","EIF5","3"
"EIF5A","ENSG00000132507","protein_coding","EIF5A","1"
"EIF6","ENSG00000242372","protein_coding","EIF6","4"
